date,Ed Sheeran,Maroon 5,The Chainsmokers,Katy Perry,Sam Feldt,Avicii,Shawn Mendes,Martin Garrix,David Guetta,Steve Aoki,R3HAB,Marshmello,Kygo,Armin van Buuren,Billie Eilish,Sia,Calvin Harris,DJ Snake,Khalid,Jonas Blue,Zedd,Galantis,Tiësto,Justin Bieber,J Balvin,Dimitri Vegas & Like Mike,Deorro,Hardwell,Lauv,Alan Walker,Ariana Grande,KSHMR,Coldplay,Daddy Yankee,Halsey,Selena Gomez,Eminem,Major Lazer,The Weeknd,Post Malone,Afrojack,Frank Ocean,Young Thug,Camila Cabello,John Legend,Pitbull,Imagine Dragons,Travis Scott,Bad Bunny,Rihanna,Lynyrd Skynyrd,Led Zeppelin,Van Halen,Creedence Clearwater Revival,Bon Jovi,Scorpions,Queen,Guns N' Roses,Drake,Kendrick Lamar,Don Omar,Luis Fonsi,Lil Wayne,Javiera Mena,Snoop Dogg,OutKast,Future,Logic,Depeche Mode,U2,Aerosmith,Tyga,The Game,50 Cent,T.I.,2Pac,Rick Ross,Anderson .Paak,Cypress Hill,The Rolling Stones,Bobby Brown,The Notorious B.I.G.,Bassjackers,Ozuna,Farruko,Nicky Jam,Wisin & Yandel,オメガトライブ,The Cranberries,Janet Jackson,Miguel Rios,The Who,Gloria Estefan,Ballin Entertainment,Erykah Badu,Blasterjaxx,W&W,Unnamed: 98
1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,25.6666666666667,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,11.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,24.6666666666667,0,0,0,0,0,0
1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,27.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3333333333333,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,27.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3333333333333,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,34.3333333333333,0,13.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,41.6666666666667,0,21.6666666666667,0,13.6666666666667,11.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,27.3333333333333,0,0,0,0,0,0
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6666666666667,21.6666666666667,0,21.6666666666667,0,13.6666666666667,23,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6666666666667,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,13.3333333333333,0,0,0,0,0,0
